distance,twoPs
198,A14_A50
13668,A14_A51
10694,A14_A52
8566,A14_A53
8022,A14_A54
9786,A14_A55
8460,A14_A56
9054,A14_A57
9893,A14_A58
12271,A14_A59
9000,A14_A60
12540,A14_A61
13632,A14_A62
9756,A14_A63
11052,A14_A64
10046,A14_A65
10190,A14_A66
10044,A14_A67
16187,A14_A68
11954,A14_A69
10121,A14_A70
10145,A14_A71
6091,A14_A72
8402,A14_A73
11623,A14_A74
9939,A14_A75
9815,A14_A76
16187,A14_A77
12753,A14_A78
11463,A14_A79
8575,A14_A80
7666,A14_A81
10155,A14_A82
10828,A14_A83
7630,A14_A84
9256,A14_A85
11880,A14_A86
11942,A14_A87
10234,A14_A88
10362,A14_A89
9652,A14_A90
11209,A14_A91
7551,A14_A92
7232,A14_A93
8861,A14_A94
11001,A14_A95
9321,A14_A96
10954,A14_A97
10819,A14_A98
10688,A14_A99
9926,A14_A100
0,A15_A15
4542,A15_A16
4097,A15_A17
3968,A15_A18
3329,A15_A19
4255,A15_A20
1307,A15_A21
3255,A15_A22
6894,A15_A23
3259,A15_A24
970,A15_A25
8229,A15_A26
2735,A15_A27
1307,A15_A28
3987,A15_A29
6224,A15_A30
5185,A15_A31
4720,A15_A32
3193,A15_A33
2456,A15_A34
621,A15_A35
4655,A15_A36
4946,A15_A37
3086,A15_A38
20720,A15_A39
3950,A15_A40
3991,A15_A41
3673,A15_A42
5418,A15_A43
1352,A15_A44
2722,A15_A45
515,A15_A46
21497,A15_A47
5419,A15_A48
971,A15_A49
8879,A15_A50
6250,A15_A51
3435,A15_A52
7978,A15_A53
1209,A15_A54
727,A15_A55
1282,A15_A56
1553,A15_A57
2321,A15_A58
4206,A15_A59
2374,A15_A60
5627,A15_A61
6559,A15_A62
1113,A15_A63
3274,A15_A64
2137,A15_A65
1314,A15_A66
2284,A15_A67
21211,A15_A68
4419,A15_A69
1191,A15_A70
1094,A15_A71
7574,A15_A72
1181,A15_A73
4982,A15_A74
1147,A15_A75
754,A15_A76
21199,A15_A77
5873,A15_A78
5051,A15_A79
678,A15_A80
1536,A15_A81
3020,A15_A82
1850,A15_A83
1489,A15_A84
1262,A15_A85
5097,A15_A86
3343,A15_A87
2537,A15_A88
2021,A15_A89
2735,A15_A90
2753,A15_A91
2519,A15_A92
1913,A15_A93
1080,A15_A94
4421,A15_A95
1688,A15_A96
3512,A15_A97
3578,A15_A98
2241,A15_A99
2757,A15_A100
0,A16_A16
659,A16_A17
1420,A16_A18
1918,A16_A19
659,A16_A20
3320,A16_A21
1407,A16_A22
8461,A16_A23
1477,A16_A24
3597,A16_A25
6887,A16_A26
1823,A16_A27
5683,A16_A28
598,A16_A29
4073,A16_A30
1331,A16_A31
1364,A16_A32
1362,A16_A33
2090,A16_A34
3930,A16_A35
207,A16_A36
1385,A16_A37
7277,A16_A38
20035,A16_A39
1660,A16_A40
724,A16_A41
1551,A16_A42
1570,A16_A43
3364,A16_A44
1891,A16_A45
4195,A16_A46
20980,A16_A47
1570,A16_A48
5415,A16_A49
11941,A16_A50
1737,A16_A51
1418,A16_A52
12518,A16_A53
4775,A16_A54
4105,A16_A55
4140,A16_A56
3439,A16_A57
2438,A16_A58
810,A16_A59
6792,A16_A60
1239,A16_A61
2021,A16_A62
5073,A16_A63
1279,A16_A64
2472,A16_A65
3393,A16_A66
2372,A16_A67
20634,A16_A68
148,A16_A69
3542,A16_A70
3888,A16_A71
12001,A16_A72
4271,A16_A73
1229,A16_A74
3448,A16_A75
4110,A16_A76
20617,A16_A77
1450,A16_A78
1502,A16_A79
4473,A16_A80
5855,A16_A81
1973,A16_A82
3302,A16_A83
5704,A16_A84
3468,A16_A85
