bay_id,st_marker_id,status,location,lat,lon
134,9574,Unoccupied,"-37.80463002780117, 144.94944450508146",-37.80463002780117,144.94944450508146
135,9598,Present,"-37.80469501917062, 144.94924365426698",-37.80469501917062,144.94924365426698
136,9600,Unoccupied,"-37.80423308878802, 144.94932359613344",-37.80423308878802,144.94932359613344
137,9608,Unoccupied,"-37.80370781294397, 144.94941612496342",-37.80370781294397,144.94941612496342
138,9609,Present,"-37.80376226708128, 144.94940653392268",-37.80376226708128,144.94940653392268
139,9613,Unoccupied,"-37.80397337910522, 144.94936933357678",-37.80397337910522,144.94936933357678
140,9624,Unoccupied,"-37.80495564298887, 144.9485910245053",-37.80495564298887,144.9485910245053
141,9626,Unoccupied,"-37.80494784139534, 144.94852131678243",-37.80494784139534,144.94852131678243
142,9631,Unoccupied,"-37.805083836516324, 144.94880681257442",-37.80508383651632,144.94880681257442
143,9632,Present,"-37.805081068143366, 144.9487788128194",-37.805081068143366,144.9487788128194
144,9636,Present,"-37.80503069251948, 144.94832971520822",-37.80503069251948,144.94832971520822
145,9640,Present,"-37.80504337600814, 144.9484417923237",-37.80504337600814,144.9484417923237
146,9641,Unoccupied,"-37.805046533810994, 144.94846991594017",-37.805046533810994,144.94846991594017
147,9642,Present,"-37.80504969278485, 144.9484980089822",-37.80504969278485,144.9484980089822
148,9644,Present,"-37.80507166373267, 144.9486947563273",-37.80507166373267,144.9486947563273
149,9647,Present,"-37.805062289808234, 144.9486104168177",-37.80506228980824,144.9486104168177
150,10717,Present,"-37.80401079230701, 144.95108206912985",-37.80401079230701,144.95108206912985
151,10743,Unoccupied,"-37.80372963656171, 144.95089721142972",-37.80372963656171,144.95089721142972
152,10744,Unoccupied,"-37.80367602238836, 144.95090634361912",-37.80367602238836,144.95090634361912
153,10746,Present,"-37.80357095846333, 144.95092421211004",-37.80357095846333,144.95092421211004
154,10879,Present,"-37.805397537190174, 144.95026895705723",-37.805397537190174,144.95026895705723
155,10887,Unoccupied,"-37.80542226964059, 144.95048654174187",-37.80542226964059,144.95048654174187
156,10892,Unoccupied,"-37.80550059531828, 144.95030623287295",-37.80550059531828,144.95030623287295
157,10894,Unoccupied,"-37.80550689130257, 144.95036062945874",-37.80550689130257,144.95036062945874
158,10898,Unoccupied,"-37.80551921010215, 144.95046942900262",-37.80551921010215,144.95046942900262
159,10903,Unoccupied,"-37.80545683757234, 144.95011819310128",-37.80545683757234,144.95011819310128
160,10904,Unoccupied,"-37.80547917277377, 144.95011451847654",-37.80547917277377,144.95011451847654
161,10907,Unoccupied,"-37.805545544826, 144.95010366625039",-37.805545544826,144.9501036662504
162,11479,Unoccupied,"-37.803112855537535, 144.95029533654306",-37.803112855537535,144.95029533654306
163,11487,Unoccupied,"-37.80315391938805, 144.9506669698116",-37.80315391938805,144.9506669698116
164,11492,Unoccupied,"-37.803171032592175, 144.95081933005127",-37.803171032592175,144.95081933005127
165,11793,Present,"-37.80040641480957, 144.95566384240382",-37.80040641480957,144.95566384240382
166,11877,Unoccupied,"-37.80079242821313, 144.95614574536842",-37.80079242821313,144.95614574536842
167,11929,Present,"-37.80148524368185, 144.95466384555587",-37.80148524368185,144.95466384555587
168,11931,Present,"-37.801264759464125, 144.95494298236872",-37.801264759464125,144.95494298236872
169,11933,Present,"-37.801183307614295, 144.95504610476974",-37.801183307614295,144.95504610476974
170,11935,Present,"-37.80103368452066, 144.95523477367314",-37.80103368452066,144.95523477367314
171,11944,Present,"-37.80152523538792, 144.9549458552513",-37.80152523538792,144.9549458552513
172,12027,Unoccupied,"-37.79825612654797, 144.95296283170154",-37.79825612654797,144.95296283170154
173,12030,Present,"-37.79836018207652, 144.9530937483337",-37.79836018207652,144.9530937483337
174,12077,Present,"-37.800858109380975, 144.95332715579434",-37.800858109380975,144.95332715579434
175,12112,Present,"-37.79857524709373, 144.95213385190985",-37.79857524709373,144.95213385190985
176,12114,Unoccupied,"-37.7986067253065, 144.952093642252",-37.7986067253065,144.952093642252
177,12117,Unoccupied,"-37.798675538123774, 144.9520064148615",-37.798675538123774,144.9520064148615
178,12119,Present,"-37.7987100017332, 144.95196241626329",-37.7987100017332,144.95196241626329
179,12126,Unoccupied,"-37.79885096157331, 144.9517822846044",-37.79885096157331,144.9517822846044
180,12283,Present,"-37.79965966652839, 144.95272030367667",-37.79965966652839,144.95272030367667
181,12285,Present,"-37.79958382022292, 144.9528167454235",-37.79958382022292,144.9528167454235
182,12287,Present,"-37.7995046935481, 144.9529166897519",-37.7995046935481,144.9529166897519
183,12081,Present,"-37.80046255801336, 144.9538275540869",-37.80046255801336,144.9538275540869
184,12298,Unoccupied,"-37.799426230824615, 144.9533427168986",-37.799426230824615,144.9533427168986
185,12292,Present,"-37.79906531334455, 144.95346898088653",-37.79906531334455,144.95346898088653
186,21963,Present,"-37.80127842945463, 144.9552585527158",-37.80127842945463,144.9552585527158
187,21967,Present,"-37.80112746560212, 144.9554496673977",-37.80112746560212,144.9554496673977
188,21968,Present,"-37.80108932843591, 144.955497962312",-37.80108932843591,144.955497962312
189,18590,Unoccupied,"-37.81924197702638, 144.9484209798995",-37.81924197702638,144.9484209798995
190,18589,Unoccupied,"-37.819187943579884, 144.948418843559",-37.81918794357989,144.948418843559
191,18592,Present,"-37.8193568008589, 144.94842514599776",-37.8193568008589,144.94842514599776
192,18576,Present,"-37.81936710612113, 144.94863873122756",-37.81936710612113,144.94863873122756
193,18220,Unoccupied,"-37.818826785262, 144.94861792329436",-37.818826785262,144.94861792329436
194,18217,Present,"-37.818988880693475, 144.9486242286427",-37.81898888069348,144.9486242286427
195,18218,Present,"-37.818934848437664, 144.94862208142743",-37.818934848437664,144.94862208142743
196,18215,Unoccupied,"-37.81909694654909, 144.9486284363632",-37.81909694654909,144.9486284363632
197,20894,Unoccupied,"-37.82117475443626, 144.94714043750957",-37.82117475443626,144.94714043750955
198,20896,Present,"-37.82121167478324, 144.94701233733122",-37.82121167478324,144.94701233733122
199,20899,Unoccupied,"-37.821060399409475, 144.94692003286596",-37.82106039940948,144.94692003286596
200,20904,Unoccupied,"-37.81973544132398, 144.94534572867147",-37.81973544132398,144.94534572867147
201,20906,Unoccupied,"-37.81984521646193, 144.94537478579701",-37.81984521646193,144.945374785797
202,20907,Unoccupied,"-37.81990252902081, 144.94538995632706",-37.81990252902081,144.94538995632706
203,20910,Unoccupied,"-37.820298461121325, 144.9454922179102",-37.820298461121325,144.9454922179102
204,20911,Present,"-37.8203621874668, 144.9455089221716",-37.8203621874668,144.9455089221716
205,20912,Unoccupied,"-37.820430549921866, 144.9455268401686",-37.820430549921866,144.9455268401686
206,20914,Unoccupied,"-37.820596365631886, 144.94547541212518",-37.820596365631886,144.94547541212518
207,20915,Unoccupied,"-37.82053130601655, 144.94545818086732",-37.82053130601655,144.94545818086732
208,20916,Unoccupied,"-37.820469514797836, 144.94544227155245",-37.82046951479784,144.94544227155245
209,20919,Unoccupied,"-37.82028436997928, 144.94539316862245",-37.82028436997928,144.94539316862245
210,20586,Unoccupied,"-37.820228350801294, 144.94537956681978",-37.820228350801294,144.94537956681978
211,20590,Unoccupied,"-37.81998720271917, 144.94722109036064",-37.81998720271917,144.94722109036064
212,20596,Unoccupied,"-37.820736264785594, 144.94727093806625",-37.8207362647856,144.94727093806625
213,20597,Unoccupied,"-37.82066304236043, 144.94725373704705",-37.82066304236043,144.94725373704705
214,21484,Unoccupied,"-37.82019343144256, 144.9471129890872",-37.82019343144256,144.9471129890872
215,20608,Unoccupied,"-37.82109599968092, 144.94535779357702",-37.82109599968092,144.94535779357702
216,20613,Present,"-37.82108852879847, 144.9454536833622",-37.82108852879847,144.9454536833622
