street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A737,2,4470.0,A1737,-73.9990005493164,40.72794342041016
A738,2,1300.0,A1738,-73.97212982177734,40.7632293701172
A739,2,610.0,A1739,-73.97463226318358,40.79088973999024
A740,2,600.0,A1740,-73.97906494140625,40.740455627441406
A741,2,1430.0,A1741,-73.98082733154298,40.7451286315918
A742,2,1640.0,A1742,-73.97752380371094,40.75145721435546
A743,2,3680.0,A1743,-74.00672912597656,40.7303123474121
A744,2,4010.0,A1744,-73.98592376708984,40.75776290893555
A745,2,2050.0,A1745,-73.99152374267578,40.750049591064446
A746,2,1100.0,A1746,-73.98348236083984,40.72613525390625
A747,2,1100.0,A1747,-74.0058364868164,40.745471954345696
A748,2,1430.0,A1748,-73.97178649902342,40.76325988769531
A749,2,2500.0,A1749,-73.97698974609375,40.76482009887695
A750,2,1570.0,A1750,-73.98397827148438,40.74238967895508
A751,2,4750.0,A1751,-73.99465179443358,40.71044158935546
A752,2,3280.0,A1752,-73.9915771484375,40.726875305175774
A753,2,830.0,A1753,-73.9883270263672,40.731231689453125
A754,2,5200.0,A1754,-74.00263214111328,40.7218132019043
A755,2,4100.0,A1755,-73.99253845214845,40.769020080566406
A756,2,3900.0,A1756,-73.97083282470702,40.75164794921875
A757,2,800.0,A1757,-74.00498962402342,40.71894454956056
A758,2,590.0,A1758,-73.99669647216798,40.75275039672852
A759,2,2980.0,A1759,-73.98707580566406,40.7642936706543
A760,2,8260.0,A1760,-73.95146942138672,40.775196075439446
A761,2,4410.0,A1761,-73.97747039794923,40.726028442382805
A762,2,4200.0,A1762,-73.98750305175781,40.7552490234375
A763,2,390.0,A1763,-73.95771789550781,40.71596908569336
A764,2,900.0,A1764,-73.95589447021484,40.77986526489258
A765,2,3240.0,A1765,-73.95012664794923,40.771968841552734
A766,2,4010.0,A1766,-73.95601654052734,40.77608871459961
A767,2,1470.0,A1767,-73.98372650146483,40.725860595703125
A768,2,1470.0,A1768,-74.00170135498048,40.756362915039055
A769,2,900.0,A1769,-73.98486328125,40.73250198364258
A770,2,3900.0,A1770,-73.95718383789062,40.772579193115234
A771,2,5800.0,A1771,-73.97072601318358,40.75607681274414
A772,2,680.0,A1772,-73.98213195800781,40.77130126953125
